time_start_time_trial,time_end_time_trial,rotation,chart_type,log_error,totalSequence,arc_angle_area,judged_true,ans_percentage_diff,opposite_ans,ans_trial,postID,correct_ans,time_diff_time_trial
1440185780150,1440185809981,7.092321133241057,Arc-Length Chart,0.16992500144231237,64,,-1,-0.02702702702702703,63,36,idm0nifs,37,29831
1440185809981,,145.20677274093032,Donut Angle Chart,6.324180546618741,65,,-80,-0.8695652173913043,8,12,idm0nifs,92,
1440185844960,1440185877231,228.48708839155734,Donut Chart,1.6438561897747246,66,Arc-Length,-3,-0.03296703296703297,9,88,idm0nifs,91,32271
1440185877231,1440185891815,104.15520711801946,Donut Chart,1.6438561897747246,67,Arc-Length,3,0.3333333333333333,91,12,idm0nifs,9,14584
1440185891815,1440185908562,134.40375708974898,Donut Chart,4.651051691178929,68,Arc-Length,-25,-1,75,Area,idm0nifs,25,16747
1440185908578,1440185965090,123.10220561921597,Pie Chart,1.0874628412503393,69,Arc-Length,2,0.03278688524590164,39,63,idm0nifs,61,56512
1440185239561,1440185290442,353.05889963172376,Area Chart,1.0874628412503393,32,,-2,-0.03225806451612903,38,60,idm0nifs,62,50881
1440185426400,1440185455028,123.65975330583751,Donut Angle Chart,4.400879436282184,42,,-21,-0.3181818181818182,34,45,idm0nifs,66,28628
1440185083230,1440185089745,48.032522862777114,Pie Chart,1.0874628412503393,24,,-2,-0.021739130434782608,8,90,idm0nifs,92,6515
1440185089745,1440185107233,292.40312431007624,Pie Angle Chart,0.16992500144231237,25,,1,0.02127659574468085,53,48,idm0nifs,47,17488
1440185107233,1440185122298,165.46252755448222,Arc-Length Chart,0.16992500144231237,26,,-1,-0.017857142857142856,44,55,idm0nifs,56,15065
1440185122298,1440185144600,356.9355864264071,Pie Chart,1.6438561897747246,27,,-3,-0.06976744186046512,57,40,idm0nifs,43,22302
1440184959335,1440184972077,115.32493036240339,Area Chart,2.357552004618084,20,,-5,-0.09090909090909091,45,50,idm0nifs,55,12742
1440184972077,1440184999864,287.74092016741633,Arc-Length Chart,2.0443941193584534,21,,-4,-0.10810810810810811,63,33,idm0nifs,37,27787
1440185544728,1440185553127,191.42444861121476,Pie Chart,0.16992500144231237,48,,-1,-0.02040816326530612,51,48,idm0nifs,49,8399
1440185553127,1440185567542,351.19715413078666,Area Chart,0.16992500144231237,49,,1,0.011235955056179775,11,90,idm0nifs,89,14415
1440185528375,1440185537211,321.48413258604705,Donut Angle Chart,2.357552004618084,46,,-5,-0.0625,20,75,idm0nifs,80,8836
1440185074246,1440185083230,259.36779672279954,Pie Chart,1.6438561897747246,23,,-3,-0.08333333333333333,64,33,idm0nifs,36,8984
1440185474862,1440185516962,56.04093429632485,Arc-Length Chart,0.16992500144231237,44,,-1,-0.0625,84,15,idm0nifs,16,42100
1440185516962,1440185528375,193.03574234247208,Pie Chart,1.0874628412503393,45,,-2,-0.024390243902439025,18,80,idm0nifs,82,11413
1440185144600,1440185164163,220.22469464689493,Donut Chart,2.0443941193584534,28,,4,0.6666666666666666,94,10,idm0nifs,6,19563
1440185164163,1440185171727,241.88026911579072,Pie Chart,-3,29,,0,0,75,25,idm0nifs,25,7564
1440185396793,1440185407402,139.87609866075218,Donut Chart,0.16992500144231237,40,,1,0.05263157894736842,81,20,idm0nifs,19,10609
1440185407402,1440185426400,194.76229679770768,Pie Chart,0.16992500144231237,41,,-1,-0.014925373134328358,33,66,idm0nifs,67,18998
1440184539788,1440184546452,115.13336246833205,Pie Chart,3.4757334309663976,1,Arc-Length,11,1.2222222222222223,91,20,idm0nifs,9,6664
1440185315688,1440185336069,80.65905547700822,Donut Chart,0.16992500144231237,35,,-1,-0.01639344262295082,39,60,idm0nifs,61,20381
1440184579803,1440184587738,92.74011220782995,Donut Chart,0.16992500144231237,3,Arc-Length,-1,-0.01639344262295082,39,60,idm0nifs,61,7935
1440184546452,1440184579803,133.56349392794073,Pie Chart,4.651051691178929,2,Arc-Length,-25,-1,75,Area,idm0nifs,25,33351
1440184593920,,28.97527551278472,Donut Chart,4.651051691178929,5,Arc-Length,-25,-1,75,Arc-Length,idm0nifs,25,
1440184587738,1440184593920,219.53627401962876,Donut Chart,1.6438561897747246,4,Arc-Length,3,0.08108108108108109,63,40,idm0nifs,37,6182
1440184634034,1440184687512,262.9549500346184,Arc-Length Chart,-3,7,,0,0,79,21,idm0nifs,21,53478
1440184605787,1440184634034,46.57824388705194,Pie Chart,4.651051691178929,6,,-25,-1,75,,idm0nifs,25,28247
1440184721795,1440184729878,151.4195375237614,Pie Chart,4.651051691178929,9,,-25,-1,75,,idm0nifs,25,8083
1440185226492,1440185239546,45.487984931096435,Donut Chart,1.0874628412503393,31,,-2,-0.03225806451612903,38,60,idm0nifs,62,13054
1440185455028,1440185474862,102.37540838308632,Pie Angle Chart,2.6147098441152083,43,,6,0.3157894736842105,81,25,idm0nifs,19,19834
1440185370372,1440185396777,344.33550297282636,Pie Angle Chart,5.675957032941749,39,,-51,-0.6710526315789473,24,25,idm0nifs,76,26405
1440185303550,1440185315688,300.5429018754512,Pie Chart,-3,34,,0,0,30,70,idm0nifs,70,12138
1440185537211,1440185544728,12.366585340350866,Donut Chart,0.16992500144231237,47,,-1,-0.09090909090909091,89,10,idm0nifs,11,7517
1440185357403,1440185370372,25.23918265476823,Area Chart,-3,38,,0,0,85,15,idm0nifs,15,12969
1440184687512,1440184721795,202.24947564303875,Arc-Length Chart,-3,8,,0,0,27,73,idm0nifs,73,34283
1440186057923,,18.234658604487777,Pie Chart,4.651051691178929,71,Arc-Length,-25,-1,75,Area,idm0nifs,25,
1440185965090,1440186057923,162.55032883957028,Pie Chart,1.6438561897747246,70,Arc-Length,3,0.08108108108108109,63,40,idm0nifs,37,92833
1440184823676,1440184832507,344.9176497850567,Pie Chart,4.651051691178929,15,,-25,-1,75,,idm0nifs,25,8831
1440184794356,1440184823676,163.72389100492,Donut Angle Chart,-3,14,,0,0,18,82,idm0nifs,82,29320
1440184749144,1440184768738,57.489428501576185,Pie Angle Chart,-3,11,,0,0,23,77,idm0nifs,77,19594
